"game_id","row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
21600090,"72",1,54,"Giannis Antetokounmpo","MIL","72 - 69","-3",2
21600090,"73",1,7,"J.J. Barea","DAL","72 - 71","-1",2
21600090,"74",1,7,"J.J. Barea","DAL","72 - 72","0",1
21600090,"75",0,27,"Giannis Antetokounmpo","MIL","74 - 72","-2",2
21600090,"76",0,13,"Harrison Barnes","DAL","74 - 74","0",2
21600090,"77",4,46,"Harrison Barnes","DAL","74 - 76","2",2
21600090,"78",2,36,"J.J. Barea","DAL","74 - 79","5",3
21600090,"79",2,19,"Giannis Antetokounmpo","MIL","75 - 79","4",1
21600090,"80",1,31,"J.J. Barea","DAL","75 - 81","6",2
21600090,"81",0,59,"Wesley Matthews","DAL","75 - 84","9",3
21600090,"82",0,35,"Dorian Finney-Smith","DAL","75 - 85","10",1
21600090,"83",0,35,"Dorian Finney-Smith","DAL","75 - 86","11",1
