"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"94",5,55,"Frank Kaminsky","CHA","100 - 89","-11",2
"95",5,41,"Tim Frazier","NOP","100 - 91","-9",2
"96",5,4,"Jrue Holiday","NOP","100 - 94","-6",3
"97",4,45,"Nicolas Batum","CHA","101 - 94","-7",1
"98",4,45,"Marvin Williams","CHA","102 - 94","-8",1
"99",4,45,"Marvin Williams","CHA","103 - 94","-9",1
"100",3,48,"Langston Galloway","NOP","103 - 97","-6",3
"101",3,11,"Anthony Davis","NOP","103 - 100","-3",3
"102",2,49,"Michael Kidd-Gilchrist","CHA","104 - 100","-4",1
"103",2,35,"Langston Galloway","NOP","104 - 101","-3",1
"104",2,35,"Langston Galloway","NOP","104 - 102","-2",1
"105",2,35,"Langston Galloway","NOP","104 - 103","-1",1
"106",2,0,"Jrue Holiday","NOP","104 - 105","1",2
"107",1,51,"Kemba Walker","CHA","105 - 105","0",1
"108",1,51,"Kemba Walker","CHA","106 - 105","-1",1
"109",1,6,"Kemba Walker","CHA","108 - 105","-3",2
"110",0,54,"Anthony Davis","NOP","108 - 106","-2",1
"111",0,18,"Anthony Davis","NOP","108 - 108","0",2
"112",4,29,"Marvin Williams","CHA","110 - 108","-2",2
"113",4,11,"Jrue Holiday","NOP","110 - 110","0",2
"114",2,46,"Anthony Davis","NOP","110 - 112","2",2
"115",1,15,"Anthony Davis","NOP","110 - 114","4",2
"116",1,6,"Frank Kaminsky","CHA","112 - 114","2",2
"117",0,47,"Anthony Davis","NOP","112 - 116","4",2
"118",0,42,"Nicolas Batum","CHA","113 - 116","3",1
"119",0,42,"Nicolas Batum","CHA","114 - 116","2",1
"120",0,42,"Nicolas Batum","CHA","115 - 116","1",1
"121",0,31,"Anthony Davis","NOP","115 - 118","3",2
"122",0,31,"Nicolas Batum","CHA","116 - 118","2",1
"123",0,10,"Jrue Holiday","NOP","116 - 119","3",1
"124",0,5,"Tim Frazier","NOP","116 - 120","4",1
"125",0,5,"Tim Frazier","NOP","116 - 121","5",1
