"game_id","row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
21600039,"100",3,56,"Marcin Gortat","WAS","95 - 88","-7",1
21600039,"101",3,56,"Marcin Gortat","WAS","96 - 88","-8",1
21600039,"102",3,17,"Vince Carter","MEM","96 - 89","-7",1
21600039,"103",3,17,"Vince Carter","MEM","96 - 90","-6",1
21600039,"104",3,3,"Mike Conley","MEM","96 - 93","-3",3
21600039,"105",1,55,"Mike Conley","MEM","96 - 95","-1",2
21600039,"106",1,39,"Bradley Beal","WAS","98 - 95","-3",2
21600039,"107",1,28,"Mike Conley","MEM","98 - 97","-1",2
21600039,"108",0,24,"John Wall","WAS","99 - 97","-2",1
21600039,"109",0,24,"John Wall","WAS","100 - 97","-3",1
21600039,"110",0,15,"Marc Gasol","MEM","100 - 100","0",3
21600039,"111",4,39,"Marc Gasol","MEM","100 - 101","1",1
21600039,"112",4,39,"Marc Gasol","MEM","100 - 102","2",1
21600039,"113",3,53,"Mike Conley","MEM","100 - 103","3",1
21600039,"114",3,53,"Mike Conley","MEM","100 - 104","4",1
21600039,"115",3,23,"Marc Gasol","MEM","100 - 107","7",3
21600039,"116",1,46,"Marc Gasol","MEM","100 - 110","10",3
21600039,"117",1,6,"Mike Conley","MEM","100 - 112","12",2
21600039,"118",0,17,"Marcus Thornton","WAS","103 - 112","9",3
