"game_id","row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
21600060,"81",2,39,"Marc Gasol","MEM","76 - 84","8",3
21600060,"82",2,27,"Anthony Davis","NOP","77 - 84","7",1
21600060,"83",2,6,"Mike Conley","MEM","77 - 87","10",3
21600060,"84",0,33,"Buddy Hield","NOP","78 - 87","9",1
21600060,"85",0,33,"Buddy Hield","NOP","79 - 87","8",1
21600060,"86",0,29,"Mike Conley","MEM","79 - 88","9",1
21600060,"87",0,29,"Mike Conley","MEM","79 - 89","10",1
21600060,"88",0,22,"Lance Stephenson","NOP","81 - 89","8",2
21600060,"89",0,3,"Lance Stephenson","NOP","82 - 89","7",1
21600060,"90",0,3,"Lance Stephenson","NOP","83 - 89","6",1
