"game_id","row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
21600075,"102",3,39,"E'Twaun Moore","NOP","91 - 97","6",2
21600075,"103",2,58,"Tyson Chandler","PHX","93 - 97","4",2
21600075,"104",2,28,"Devin Booker","PHX","95 - 97","2",2
21600075,"105",1,43,"Langston Galloway","NOP","95 - 100","5",3
21600075,"106",1,3,"Devin Booker","PHX","96 - 100","4",1
21600075,"107",1,3,"Devin Booker","PHX","97 - 100","3",1
21600075,"108",0,12,"Devin Booker","PHX","100 - 100","0",3
21600075,"109",0,2,"Lance Stephenson","NOP","100 - 102","2",2
21600075,"110",0,0,"Devin Booker","PHX","102 - 102","0",2
21600075,"111",4,44,"Lance Stephenson","NOP","102 - 104","2",2
21600075,"112",3,26,"Eric Bledsoe","PHX","103 - 104","1",1
21600075,"113",3,3,"Langston Galloway","NOP","103 - 106","3",2
21600075,"114",2,51,"Eric Bledsoe","PHX","105 - 106","1",2
21600075,"115",2,34,"Solomon Hill","NOP","105 - 107","2",1
21600075,"116",2,20,"Devin Booker","PHX","107 - 107","0",2
21600075,"117",2,20,"Devin Booker","PHX","108 - 107","-1",1
21600075,"118",1,43,"Eric Bledsoe","PHX","110 - 107","-3",2
21600075,"119",0,38,"Anthony Davis","NOP","110 - 109","-1",2
21600075,"120",0,8,"E'Twaun Moore","NOP","110 - 110","0",1
21600075,"121",0,8,"E'Twaun Moore","NOP","110 - 111","1",1
21600075,"122",0,7,"TJ Warren","PHX","112 - 111","-1",2
