"row_number","minute_adjusted","seconds","player","team","score","scoremargin","points_scored"
"118",0,7,"Emmanuel Mudiay","DEN","107 - 106","-1",2
"119",0,0,"Marc Gasol","MEM","107 - 108","1",2
